Iteration,GWO,SA,Hybrid GWO+SA
1,0.06928070175438598,0.08954385964912284,0.06928070175438598
2,0.06764912280701756,0.08935087719298249,0.06764912280701756
3,0.06650877192982459,0.08915789473684213,0.06650877192982459
4,0.06459649122807021,0.08882456140350879,0.06478947368421055
5,0.06345614035087722,0.08763157894736845,0.0635087719298246
6,0.06303508771929828,0.08657894736842107,0.06317543859649126
7,0.06303508771929828,0.08657894736842107,0.06259649122807023
8,0.06303508771929828,0.08519298245614038,0.06259649122807023
9,0.06264912280701758,0.08452631578947371,0.06198245614035092
10,0.06245614035087722,0.0836666666666667,0.06070175438596496
11,0.06245614035087722,0.0819824561403509,0.06070175438596496
12,0.06245614035087722,0.08103508771929828,0.06070175438596496
13,0.06245614035087722,0.08103508771929828,0.06070175438596496
14,0.06245614035087722,0.08089473684210528,0.060421052631579
15,0.06245614035087722,0.08089473684210528,0.060421052631579
16,0.06145614035087722,0.08089473684210528,0.060421052631579
17,0.06145614035087722,0.08003508771929828,0.060421052631579
18,0.06145614035087722,0.07989473684210528,0.060421052631579
19,0.06145614035087722,0.07989473684210528,0.060421052631579
20,0.06145614035087722,0.07989473684210528,0.060421052631579
21,0.06145614035087722,0.07978947368421055,0.060421052631579
22,0.06145614035087722,0.07978947368421055,0.05950877192982461
23,0.06145614035087722,0.07978947368421055,0.05950877192982461
24,0.06145614035087722,0.0795964912280702,0.05950877192982461
25,0.06112280701754389,0.0795964912280702,0.05831578947368425
26,0.06112280701754389,0.07849122807017547,0.05798245614035093
27,0.06112280701754389,0.07815789473684213,0.05798245614035093
28,0.0609824561403509,0.07787719298245618,0.05798245614035093
29,0.06026315789473687,0.07787719298245618,0.05798245614035093
30,0.06026315789473687,0.07754385964912285,0.05798245614035093
